epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.438,0.66457,2.64684,1.08855,0.65987,0.67568,0.80524,0.74847,0.41304,1.32418,1.16639,0.000254817,0.000254817,0.000254817
2,206.933,0.42901,1.37265,0.98537,0.78205,0.84193,0.85214,0.83417,0.23942,1.07767,1.12638,0.000485848,0.000485848,0.000485848
3,303.386,0.39103,1.10324,0.96101,0.7716,0.75834,0.83868,0.78033,0.4135,1.1874,1.17918,0.000691502,0.000691502,0.000691502
4,399.599,0.36713,0.95861,0.94703,0.94743,0.9159,0.96003,0.92738,0.27529,0.56838,1.1149,0.000654804,0.000654804,0.000654804
5,498.378,0.34083,0.88386,0.93349,0.84901,0.93407,0.95201,0.93964,0.19475,0.67623,1.1074,0.000616738,0.000616738,0.000616738
6,593.352,0.3251,0.82204,0.92412,0.90288,0.93461,0.97864,0.9662,0.18529,0.55317,1.10049,0.000578672,0.000578672,0.000578672
7,689.195,0.30468,0.76863,0.92354,0.92247,0.9098,0.97414,0.94228,0.21107,0.53543,1.12742,0.000540607,0.000540607,0.000540607
8,781.514,0.28995,0.70167,0.91879,0.87266,0.92158,0.94553,0.92696,0.17128,0.56685,1.10165,0.000502541,0.000502541,0.000502541
9,888.483,0.27949,0.66952,0.91565,0.96406,0.90386,0.97628,0.95839,0.18757,0.43833,1.10499,0.000464476,0.000464476,0.000464476
